judge,A,B,choseA,choseB
1,74,73,1,0
1,73,11,0,1
1,46,11,1,0
1,137,46,0,1
1,137,23,1,0
1,23,6,0,1
1,6,86,1,0
1,86,134,0,1
1,134,40,1,0
1,40,91,0,1
1,59,91,1,0
1,59,25,0,1
1,83,25,1,0
1,51,83,0,1
1,20,51,1,0
1,117,20,0,1
1,154,117,1,0
1,154,15,0,1
1,15,116,1,0
1,37,116,0,1
1,37,113,1,0
1,48,113,0,1
1,28,48,1,0
1,5,28,0,1
1,120,5,1,0
1,9,120,0,1
1,90,9,1,0
1,33,90,0,1
1,33,87,1,0
1,87,19,0,1
1,19,100,1,0
1,100,84,0,1
1,84,89,1,0
1,89,70,0,1
1,69,70,1,0
1,69,108,0,1
1,107,108,1,0
1,122,107,0,1
1,124,122,1,0
1,29,124,0,1
1,29,14,1,0
1,17,14,0,1
1,95,17,1,0
1,75,95,0,1
1,38,75,1,0
1,131,38,0,1
1,1,131,1,0
1,36,1,0,1
1,82,36,1,0
1,66,82,0,1
1,66,80,1,0
1,80,27,0,1
1,27,93,1,0
1,93,101,0,1
1,101,146,1,0
1,146,53,0,1
1,53,132,1,0
1,132,52,0,1
1,52,64,1,0
1,64,85,0,1
1,129,85,1,0
1,10,129,0,1
1,10,138,1,0
1,49,138,0,1
1,136,49,1,0
1,136,133,0,1
1,22,84,1,0
1,49,22,0,1
1,49,34,1,0
1,34,134,0,1
1,79,134,1,0
1,142,79,0,1
1,110,142,1,0
1,110,151,0,1
1,151,54,1,0
1,9,54,0,1
1,51,9,1,0
1,16,51,0,1
1,16,91,1,0
1,91,1,0,1
1,1,74,1,0
1,99,74,0,1
1,61,99,1,0
1,61,105,0,1
1,105,15,1,0
1,80,15,0,1
1,80,145,1,0
1,145,148,0,1
1,148,152,1,0
1,57,152,0,1
1,62,57,1,0
1,153,62,0,1
1,52,153,1,0
1,52,116,0,1
1,116,27,1,0
1,27,30,0,1
1,123,30,1,0
1,77,123,0,1
1,95,77,1,0
1,95,6,0,1
1,6,33,1,0
1,67,55,0,1
1,67,47,1,0
1,47,135,0,1
1,135,142,1,0
1,142,96,0,1
1,127,27,1,0
1,27,118,0,1
1,118,16,1,0
1,16,28,0,1
1,149,28,1,0
1,30,149,0,1
1,155,30,1,0
1,72,155,0,1
1,116,72,1,0
1,116,81,0,1
1,81,115,1,0
1,80,115,0,1
1,111,80,1,0
1,42,111,0,1
1,108,42,1,0
1,108,19,0,1
1,19,99,1,0
1,99,59,0,1
1,25,59,1,0
1,88,25,0,1
1,88,89,1,0
1,89,131,0,1
1,94,131,1,0
1,60,94,0,1
1,125,60,1,0
1,147,125,0,1
1,147,41,1,0
1,41,90,0,1
1,90,20,1,0
1,43,20,0,1
1,25,150,1,0
1,150,29,0,1
1,29,30,1,0
1,136,30,0,1
1,151,136,1,0
1,4,151,0,1
1,144,4,1,0
1,23,144,0,1
1,63,23,1,0
1,97,63,0,1
1,36,97,1,0
1,36,53,0,1
1,53,52,1,0
1,41,52,0,1
1,41,58,1,0
1,58,119,0,1
1,119,86,1,0
1,86,20,0,1
1,20,93,1,0
1,93,26,0,1
1,124,26,1,0
1,155,124,0,1
1,155,5,1,0
1,61,5,0,1
1,117,61,1,0
1,90,117,0,1
1,132,90,1,0
1,74,132,0,1
1,54,74,1,0
1,54,112,0,1
1,112,122,1,0
1,122,35,0,1
1,35,42,1,0
1,42,121,0,1
1,31,121,1,0
1,50,31,0,1
1,126,50,1,0
1,85,106,0,1
1,106,34,1,0
1,34,94,0,1
1,105,94,1,0
1,150,105,0,1
1,115,150,1,0
1,115,152,0,1
1,51,152,1,0
1,51,13,0,1
1,13,87,1,0
1,87,26,0,1
1,26,16,1,0
1,139,16,0,1
1,139,89,1,0
1,89,69,0,1
1,88,69,1,0
1,88,21,0,1
1,140,105,1,0
1,131,105,0,1
1,127,131,1,0
1,103,127,0,1
1,103,16,1,0
1,16,129,0,1
1,111,129,1,0
1,143,111,0,1
1,143,28,1,0
1,28,71,0,1
1,71,102,1,0
1,38,102,0,1
1,38,45,1,0
1,45,10,0,1
1,130,10,1,0
1,94,130,0,1
1,94,87,1,0
1,87,22,0,1
1,22,4,1,0
1,4,35,0,1
1,35,12,1,0
1,29,12,0,1
1,29,19,1,0
1,89,19,0,1
1,78,89,1,0
1,17,78,0,1
1,83,17,1,0
1,46,83,0,1
1,24,46,1,0
1,90,24,0,1
1,1,90,1,0
1,37,1,0,1
1,8,37,1,0
1,8,14,0,1
1,14,68,1,0
1,133,68,0,1
1,133,100,1,0
1,100,125,0,1
1,125,73,1,0
1,73,81,0,1
1,81,56,1,0
1,58,56,0,1
1,137,58,1,0
1,42,137,0,1
1,121,42,1,0
1,121,26,0,1
1,148,26,1,0
1,148,52,0,1
1,138,17,1,0
1,17,72,0,1
1,121,58,1,0
1,58,57,0,1
1,57,99,1,0
1,99,152,0,1
1,6,152,1,0
1,69,6,0,1
1,69,91,1,0
1,91,38,0,1
1,25,38,1,0
1,106,25,0,1
1,82,106,1,0
1,51,82,0,1
1,83,51,1,0
1,4,83,0,1
1,4,77,1,0
1,45,77,0,1
1,110,45,1,0
1,143,110,0,1
1,1,143,1,0
1,1,15,0,1
1,15,9,1,0
1,65,16,0,1
1,16,122,1,0
1,122,115,0,1
1,154,115,1,0
1,154,111,0,1
1,111,138,1,0
1,138,103,0,1
1,103,42,1,0
1,42,50,0,1
1,132,50,1,0
1,132,112,0,1
1,112,6,1,0
1,137,6,0,1
1,137,146,1,0
1,70,146,0,1
1,148,70,1,0
1,39,148,0,1
1,17,39,1,0
1,17,52,0,1
1,110,52,1,0
1,77,110,0,1
1,75,77,1,0
1,87,75,0,1
1,81,87,1,0
1,32,81,0,1
1,35,32,1,0
1,82,35,0,1
1,82,9,1,0
1,153,9,0,1
1,151,153,1,0
1,28,151,0,1
1,28,97,1,0
1,98,97,0,1
1,60,98,1,0
1,142,60,0,1
1,142,73,1,0
1,73,83,0,1
1,83,38,1,0
1,58,38,0,1
1,118,58,1,0
1,145,118,0,1
1,27,145,1,0
1,20,27,0,1
1,130,20,1,0
1,61,130,0,1
1,54,61,1,0
1,51,54,0,1
1,51,74,1,0
1,84,74,0,1
2,43,129,1,0
2,2,129,0,1
2,4,2,1,0
2,23,4,0,1
2,23,37,1,0
2,37,115,0,1
2,12,115,1,0
2,12,106,0,1
2,106,93,1,0
2,93,101,0,1
2,148,101,1,0
2,26,148,0,1
2,26,122,1,0
2,40,122,0,1
2,144,40,1,0
2,99,144,0,1
2,99,87,1,0
2,87,73,0,1
2,91,73,1,0
2,47,91,0,1
2,107,47,1,0
2,50,107,0,1
2,14,50,1,0
2,108,14,0,1
2,28,108,1,0
2,98,28,0,1
2,83,98,1,0
2,113,83,0,1
2,102,113,1,0
2,102,46,0,1
2,46,8,1,0
2,128,8,0,1
2,128,32,1,0
2,141,32,0,1
2,7,141,1,0
2,76,7,0,1
2,76,29,1,0
2,65,29,0,1
2,65,60,1,0
2,60,105,0,1
2,19,105,1,0
2,153,19,0,1
2,137,153,1,0
2,132,137,0,1
2,88,132,1,0
2,89,88,0,1
2,9,89,1,0
2,9,81,0,1
2,125,81,1,0
2,125,55,0,1
2,123,55,1,0
2,74,123,0,1
2,66,74,1,0
2,66,112,0,1
2,112,71,1,0
2,71,10,0,1
2,10,154,1,0
2,103,154,0,1
2,103,138,1,0
2,138,147,0,1
2,56,147,1,0
2,118,56,0,1
2,118,77,1,0
2,77,48,0,1
2,48,64,1,0
2,64,126,0,1
2,126,131,1,0
2,131,59,0,1
2,59,57,1,0
2,57,53,0,1
2,95,101,1,0
2,101,129,0,1
2,129,71,1,0
2,71,141,0,1
2,141,23,1,0
2,23,55,0,1
2,55,66,1,0
2,50,66,0,1
2,50,88,1,0
2,88,19,0,1
2,19,146,1,0
2,30,92,0,1
2,4,92,1,0
2,4,128,0,1
2,128,111,1,0
2,111,102,0,1
2,102,138,1,0
2,132,138,0,1
2,85,132,1,0
2,120,85,0,1
2,106,120,1,0
2,106,43,0,1
2,96,43,1,0
2,41,96,0,1
2,41,73,1,0
2,73,25,0,1
2,25,38,1,0
2,84,38,0,1
2,125,84,1,0
2,105,125,0,1
2,105,37,1,0
2,145,94,0,1
2,104,145,1,0
2,65,104,0,1
2,65,32,1,0
2,32,112,0,1
2,112,60,1,0
2,60,62,0,1
2,75,62,1,0
2,7,75,0,1
2,15,109,1,0
2,67,15,0,1
2,127,67,1,0
2,42,127,0,1
2,89,42,1,0
2,89,114,0,1
2,93,114,1,0
2,93,154,0,1
2,154,29,1,0
2,47,29,0,1
2,47,99,1,0
2,99,147,0,1
2,151,147,1,0
2,151,83,0,1
2,83,123,1,0
2,97,123,0,1
2,130,97,1,0
2,130,79,0,1
2,79,72,1,0
2,72,155,0,1
2,110,155,1,0
2,8,110,0,1
2,148,8,1,0
2,144,148,0,1
2,144,28,1,0
2,70,28,0,1
2,70,5,1,0
2,5,69,0,1
2,11,69,1,0
2,11,61,0,1
2,115,61,1,0
2,45,115,0,1
2,18,45,1,0
2,18,107,0,1
2,107,52,1,0
2,52,14,0,1
2,14,82,1,0
2,82,22,0,1
2,22,153,1,0
2,153,27,0,1
2,143,27,1,0
2,136,143,0,1
2,136,80,1,0
2,80,117,0,1
2,12,117,1,0
2,12,103,0,1
2,103,90,1,0
2,90,35,0,1
2,35,6,1,0
2,6,40,0,1
2,40,16,1,0
2,16,2,0,1
2,2,26,1,0
2,26,56,0,1
2,140,56,1,0
2,9,140,0,1
2,9,131,1,0
2,131,116,0,1
2,31,116,1,0
2,124,31,0,1
2,124,98,1,0
2,98,126,0,1
2,126,81,1,0
2,81,121,0,1
2,121,142,1,0
2,142,33,0,1
2,33,91,1,0
2,77,21,0,1
2,106,21,1,0
2,71,106,0,1
2,40,71,1,0
2,17,40,0,1
2,137,17,1,0
2,137,27,0,1
2,152,27,1,0
2,33,152,0,1
2,47,33,1,0
2,47,128,0,1
2,46,128,1,0
2,46,10,0,1
2,10,85,1,0
2,85,129,0,1
2,134,129,1,0
2,65,134,0,1
2,8,65,1,0
2,8,54,0,1
2,54,48,1,0
2,48,20,0,1
2,20,14,1,0
2,102,14,0,1
2,102,82,1,0
2,22,82,0,1
2,22,23,1,0
2,23,29,0,1
2,25,29,1,0
2,25,108,0,1
2,68,108,1,0
2,68,3,0,1
2,3,36,1,0
2,139,36,0,1
2,140,139,1,0
2,58,140,0,1
2,28,58,1,0
2,41,28,0,1
2,50,41,1,0
2,61,50,0,1
2,141,61,1,0
2,141,76,0,1
2,107,76,1,0
2,107,75,0,1
2,75,60,1,0
2,60,24,0,1
2,24,118,1,0
2,118,110,0,1
2,110,42,1,0
2,42,37,0,1
2,26,37,1,0
2,144,26,0,1
2,144,56,1,0
2,78,56,0,1
2,133,78,1,0
2,109,133,0,1
2,148,109,1,0
2,131,148,0,1
2,131,99,1,0
2,99,55,0,1
2,55,74,1,0
2,142,74,0,1
2,154,142,1,0
2,114,154,0,1
2,136,114,1,0
2,49,136,0,1
2,81,49,1,0
2,93,81,0,1
2,93,73,1,0
2,73,11,0,1
2,51,11,1,0
2,115,51,0,1
2,115,13,1,0
2,39,13,0,1
2,147,39,1,0
2,147,7,0,1
2,7,155,1,0
2,155,125,0,1
2,83,125,1,0
2,127,83,0,1
2,103,127,1,0
2,145,103,0,1
2,145,63,1,0
2,63,94,0,1
2,94,67,1,0
2,5,67,0,1
2,5,16,1,0
2,16,59,0,1
2,59,97,1,0
2,97,9,0,1
2,96,9,1,0
2,96,113,0,1
2,113,120,1,0
2,18,120,0,1
2,18,150,1,0
2,150,86,0,1
2,126,86,1,0
2,64,126,0,1
2,90,64,1,0
2,90,123,0,1
2,123,6,1,0
2,6,32,0,1
2,31,32,1,0
2,105,31,0,1
2,105,30,1,0
2,132,30,0,1
2,2,132,1,0
2,2,151,0,1
2,19,151,1,0
2,121,19,0,1
2,121,66,1,0
2,66,138,0,1
2,138,45,1,0
2,45,53,0,1
2,53,101,1,0
2,101,35,0,1
2,35,88,1,0
2,88,130,0,1
2,130,72,1,0
2,52,72,0,1
2,52,92,1,0
2,70,92,0,1
2,48,42,1,0
2,48,104,0,1
2,104,88,1,0
2,88,21,0,1
2,21,86,1,0
2,86,29,0,1
2,123,29,1,0
2,123,96,0,1
2,96,81,1,0
2,143,81,0,1
2,143,152,1,0
2,30,152,0,1
3,71,116,1,0
3,116,83,0,1
3,83,124,1,0
3,108,124,0,1
3,108,40,1,0
3,40,20,0,1
3,141,20,1,0
3,73,141,0,1
3,139,73,1,0
3,139,148,0,1
3,148,39,1,0
3,39,150,0,1
3,69,150,1,0
3,54,69,0,1
3,54,72,1,0
3,72,17,0,1
3,46,17,1,0
3,10,46,0,1
3,140,10,1,0
3,25,140,0,1
3,25,58,1,0
3,80,58,0,1
3,80,63,1,0
3,63,117,0,1
3,134,117,1,0
3,103,134,0,1
3,103,133,1,0
3,133,79,0,1
3,19,79,1,0
3,19,115,0,1
3,53,115,1,0
3,47,53,0,1
3,47,155,1,0
3,67,155,0,1
3,14,67,1,0
3,86,14,0,1
3,86,146,1,0
3,146,142,0,1
3,147,142,1,0
3,147,12,0,1
3,12,42,1,0
3,42,92,0,1
3,92,145,1,0
3,145,130,0,1
3,7,130,1,0
3,66,7,0,1
