Judge,Candidate.Chosen,Candidate.Not.Chosen,Time.Taken,Date.Created
judge1,OLEVE_4024s11qp12_Q_26b_2,ENGOC_A501-02_Q_1c_1,00:00:16,13/01/2015 15:13
judge1,ENGOC_J560-01_Q_18_3,SCOTL_SCOSG-FP2_Q_4b_4,00:01:16,13/01/2015 15:14
judge1,ENGOC_J560-05_Q_5_2,ENGAQ_43603F_Q_12a_4,00:01:24,13/01/2015 15:16
judge1,KOREA_KORG92011_Q_6_1,ENGOC_J560-06_Q_9_3,00:00:49,13/01/2015 15:17
judge1,ENGED_5MB3F01_Q_11bi_3,ENGAQ_83001F_Q_13_2,00:00:19,13/01/2015 15:17
judge1,IBO_IBOMATSDP1_Q_3f_1,ENGOC_A503-02_Q_2c_4,00:01:04,13/01/2015 15:18
judge1,ENGAQ_83003H_Q_11_1,ENGED_1MA13F_Q_7b_3,00:00:21,13/01/2015 15:18
judge1,ENGED_1MA11H_Q_16a_2,KOREA_KORG92011_Q_19_2,00:00:43,13/01/2015 15:19
judge1,KOREA_KORG92011_Q_CR4a _2,ENGOC_A502-02_Q_5b_1,00:00:31,13/01/2015 15:20
judge1,ENGOC_A502-02_Q_1a_3,MASSA_MASG10-P2_Q_36_4,00:00:34,13/01/2015 15:20
judge1,ENGOC_J560-04_Q_14c_6,ENGAQ_43601F_Q_4c_5,00:01:38,13/01/2015 15:22
judge1,SCOTL_SCOSG-GP1_Q_2_1,ENGWJ_4353-01_Q_7b_1,00:00:17,13/01/2015 15:22
judge1,ENGWJ_4352-02_Q_8_2,ENGED_5MB1F01_Q_1b_1,00:00:26,13/01/2015 15:23
judge1,IBO_IBOMATSDP1_Q_14a_5,IBO_IBOMATSDP1_Q_5d_6,00:00:52,13/01/2015 15:24
judge1,ONTAR_ONTG9Appl_Q_13_2,ENGOC_J560-01_Q_10aii_1,00:00:39,13/01/2015 15:24
judge1,HONGK_HKG2010CEP2_Q_10_2,ENGWJ_4353-01_Q_8c_3,00:00:22,13/01/2015 15:25
judge1,JAPAN_JPNY3QPB_Q_2a_2,ENGWJ_4351-02_Q_1b_6,00:01:48,13/01/2015 15:27
judge1,OLEVE_4024s11qp22_Q_10biii_4,IGCSE_0580-42 _Q_3aii_4,00:01:22,13/01/2015 15:28
