seed_image,judge,type,candidate_chosen,candidate_not_chosen
1,1,Fracts,Keren_New1.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New1.5.bmp,Keren_New1.bmp
1,1,Fracts,Keren_New2.bmp,Keren_New1.bmp
1,1,Fracts,Keren_New1.75.bmp,Keren_New1.bmp
1,1,Fracts,Keren_New1.25.bmp,Keren_New1.bmp
1,1,Fracts,Keren_New1.bmp,Keren_New0.5.bmp
1,1,Fracts,Keren_New2.5.bmp,Keren_New1.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New1.bmp
1,1,Fracts,Keren_New2.5.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New1.5.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New1.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New2.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New1.75.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New0.75.bmp,Keren_New0.5.bmp
1,1,Fracts,Keren_New1.25.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New1.5.bmp,Keren_New1.bmp
1,1,Fracts,Keren_New1.5.bmp,Keren_New0.5.bmp
1,1,Fracts,Keren_New1.5.bmp,Keren_New1.25.bmp
1,1,Fracts,Keren_New1.5.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New1.5.bmp
1,1,Fracts,Keren_New2.bmp,Keren_New1.5.bmp
1,1,Fracts,Keren_New2.5.bmp,Keren_New1.5.bmp
1,1,Fracts,Keren_New1.75.bmp,Keren_New1.5.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New1.5.bmp
1,1,Fracts,Keren_New1.25.bmp,Keren_New2.25.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New0.5.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New1.75.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New2.bmp
1,1,Fracts,Keren_New2.5.bmp,Keren_New2.25.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New1.bmp
1,1,Fracts,Keren_New2.5.bmp,Keren_New2.bmp
1,1,Fracts,Keren_New2.25.bmp,Keren_New2.bmp
1,1,Fracts,Keren_New2.bmp,Keren_New0.75.bmp
1,1,Fracts,Keren_New2.bmp,Keren_New1.5.bmp
1,1,Fracts,Keren_New2.bmp,Keren_New1.bmp
1,1,Fracts,Keren_New2.bmp,Keren_New1.75.bmp
