judge,candidate_chosen,candidate_not_chosen
A162YP37U7OC5T,A1,B1
A162YP37U7OC5T,B2,A2
A162YP37U7OC5T,A3,B3
A162YP37U7OC5T,A4,B4
A162YP37U7OC5T,B5,A5
A162YP37U7OC5T,A1,C1
A162YP37U7OC5T,C2,A2
A162YP37U7OC5T,A3,C3
A162YP37U7OC5T,A4,C4
A162YP37U7OC5T,C5,A5
A162YP37U7OC5T,D1,A1
A162YP37U7OC5T,D2,A2
A162YP37U7OC5T,D3,A3
A162YP37U7OC5T,D4,A4
A162YP37U7OC5T,D5,A5
A162YP37U7OC5T,C1,B1
A162YP37U7OC5T,B2,C2
A162YP37U7OC5T,B3,C3
A162YP37U7OC5T,B4,C4
A162YP37U7OC5T,B5,C5
A162YP37U7OC5T,D1,B1
A162YP37U7OC5T,D2,B2
A162YP37U7OC5T,D3,B3
A162YP37U7OC5T,D4,B4
A162YP37U7OC5T,B5,D5
A162YP37U7OC5T,D1,C1
A162YP37U7OC5T,D2,C2
A162YP37U7OC5T,D3,C3
A162YP37U7OC5T,D4,C4
A162YP37U7OC5T,D5,C5
A16SR2HQIWRFD6,A1,B1
A16SR2HQIWRFD6,B2,A2
A16SR2HQIWRFD6,B3,A3
A16SR2HQIWRFD6,A4,B4
A16SR2HQIWRFD6,B5,A5
A16SR2HQIWRFD6,A1,C1
A16SR2HQIWRFD6,A2,C2
A16SR2HQIWRFD6,C3,A3
A16SR2HQIWRFD6,A4,C4
A16SR2HQIWRFD6,C5,A5
A16SR2HQIWRFD6,A1,D1
A16SR2HQIWRFD6,D2,A2
A16SR2HQIWRFD6,D3,A3
A16SR2HQIWRFD6,A4,D4
A16SR2HQIWRFD6,D5,A5
A16SR2HQIWRFD6,C1,B1
A16SR2HQIWRFD6,B2,C2
A16SR2HQIWRFD6,B3,C3
A16SR2HQIWRFD6,B4,C4
A16SR2HQIWRFD6,B5,C5
A16SR2HQIWRFD6,D1,B1
A16SR2HQIWRFD6,B2,D2
A16SR2HQIWRFD6,D3,B3
A16SR2HQIWRFD6,B4,D4
A16SR2HQIWRFD6,D5,B5
A16SR2HQIWRFD6,D1,C1
A16SR2HQIWRFD6,D2,C2
A16SR2HQIWRFD6,D3,C3
A16SR2HQIWRFD6,D4,C4
A16SR2HQIWRFD6,D5,C5
A19KF02ULCISTQ,A1,B1
A19KF02ULCISTQ,B2,A2
A19KF02ULCISTQ,B3,A3
A19KF02ULCISTQ,A4,B4
A19KF02ULCISTQ,B5,A5
A19KF02ULCISTQ,C1,A1
A19KF02ULCISTQ,C2,A2
A19KF02ULCISTQ,C3,A3
A19KF02ULCISTQ,A4,C4
A19KF02ULCISTQ,C5,A5
A19KF02ULCISTQ,D1,A1
A19KF02ULCISTQ,D2,A2
A19KF02ULCISTQ,D3,A3
A19KF02ULCISTQ,D4,A4
A19KF02ULCISTQ,D5,A5
A19KF02ULCISTQ,C1,B1
A19KF02ULCISTQ,B2,C2
A19KF02ULCISTQ,B3,C3
A19KF02ULCISTQ,B4,C4
A19KF02ULCISTQ,B5,C5
A19KF02ULCISTQ,D1,B1
A19KF02ULCISTQ,D2,B2
A19KF02ULCISTQ,D3,B3
A19KF02ULCISTQ,D4,B4
A19KF02ULCISTQ,D5,B5
A19KF02ULCISTQ,D1,C1
A19KF02ULCISTQ,D2,C2
A19KF02ULCISTQ,C3,D3
A19KF02ULCISTQ,D4,C4
A19KF02ULCISTQ,D5,C5
A21DXSGSWBT3UT,A1,B1
A21DXSGSWBT3UT,B2,A2
A21DXSGSWBT3UT,B3,A3
A21DXSGSWBT3UT,A4,B4
A21DXSGSWBT3UT,B5,A5
A21DXSGSWBT3UT,A1,C1
A21DXSGSWBT3UT,A2,C2
A21DXSGSWBT3UT,C3,A3
A21DXSGSWBT3UT,A4,C4
A21DXSGSWBT3UT,A5,C5
A21DXSGSWBT3UT,D1,A1
A21DXSGSWBT3UT,D2,A2
A21DXSGSWBT3UT,D3,A3
A21DXSGSWBT3UT,D4,A4
A21DXSGSWBT3UT,D5,A5
