judge,candidate_chosen,candidate_not_chosen
A162YP37U7OC5T,E1,F1
A162YP37U7OC5T,F2,E2
A162YP37U7OC5T,E3,F3
A162YP37U7OC5T,E4,F4
A162YP37U7OC5T,E5,F5
A162YP37U7OC5T,E1,G1
A162YP37U7OC5T,G2,E2
A162YP37U7OC5T,E3,G3
A162YP37U7OC5T,G4,E4
A162YP37U7OC5T,E5,G5
A162YP37U7OC5T,E1,H1
A162YP37U7OC5T,H2,E2
A162YP37U7OC5T,E3,H3
A162YP37U7OC5T,H4,E4
A162YP37U7OC5T,H5,E5
A162YP37U7OC5T,G1,F1
A162YP37U7OC5T,F2,G2
A162YP37U7OC5T,F3,G3
A162YP37U7OC5T,F4,G4
A162YP37U7OC5T,F5,G5
A162YP37U7OC5T,H1,F1
A162YP37U7OC5T,F2,H2
A162YP37U7OC5T,H3,F3
A162YP37U7OC5T,H4,F4
A162YP37U7OC5T,H5,F5
A162YP37U7OC5T,H1,G1
A162YP37U7OC5T,H2,G2
A162YP37U7OC5T,H3,G3
A162YP37U7OC5T,H4,G4
A162YP37U7OC5T,G5,H5
A16SR2HQIWRFD6,F1,E1
A16SR2HQIWRFD6,F2,E2
A16SR2HQIWRFD6,F3,E3
A16SR2HQIWRFD6,E4,F4
A16SR2HQIWRFD6,E5,F5
A16SR2HQIWRFD6,G1,E1
A16SR2HQIWRFD6,E2,G2
A16SR2HQIWRFD6,E3,G3
A16SR2HQIWRFD6,G4,E4
A16SR2HQIWRFD6,E5,G5
A16SR2HQIWRFD6,E1,H1
A16SR2HQIWRFD6,H2,E2
A16SR2HQIWRFD6,H3,E3
A16SR2HQIWRFD6,H4,E4
A16SR2HQIWRFD6,H5,E5
A16SR2HQIWRFD6,F1,G1
A16SR2HQIWRFD6,F2,G2
A16SR2HQIWRFD6,F3,G3
A16SR2HQIWRFD6,F4,G4
A16SR2HQIWRFD6,F5,G5
A16SR2HQIWRFD6,F1,H1
A16SR2HQIWRFD6,H2,F2
A16SR2HQIWRFD6,F3,H3
A16SR2HQIWRFD6,H4,F4
A16SR2HQIWRFD6,H5,F5
A16SR2HQIWRFD6,G1,H1
A16SR2HQIWRFD6,H2,G2
A16SR2HQIWRFD6,H3,G3
A16SR2HQIWRFD6,H4,G4
A16SR2HQIWRFD6,G5,H5
A19KF02ULCISTQ,F1,E1
A19KF02ULCISTQ,F2,E2
