Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-202-979-515-526,Bayesian paired comparison with the bpcs package.,2021-11-30,2021,journal article,Behavior research methods,15543528; 1554351x,Springer Science and Business Media LLC,Germany,David Issa Mattos; Érika Martins Silva Ramos,"This article introduces the bpcs R package (Bayesian Paired Comparison in Stan) and the statistical models implemented in the package. This package aims to facilitate the use of Bayesian models for paired comparison data in behavioral research. Bayesian analysis of paired comparison data allows parameter estimation even in conditions where the maximum likelihood does not exist, allows easy extension of paired comparison models, provides straightforward interpretation of the results with credible intervals, has better control of type I error, has more robust evidence towards the null hypothesis, allows propagation of uncertainties, includes prior information, and performs well when handling models with many parameters and latent variables. The bpcs package provides a consistent interface for R users and several functions to evaluate the posterior distribution of all parameters to estimate the posterior distribution of any contest between items and to obtain the posterior distribution of the ranks. Three reanalyses of recent studies that used the frequentist Bradley-Terry model are presented. These reanalyses are conducted with the Bayesian models of the bpcs package, and all the code used to fit the models, generate the figures, and the tables are available in the online appendix.",54,4,1,21,Bayesian probability; Statistical model; Data mining; Frequentist inference; Estimation theory; Null hypothesis; Type I and type II errors; Computer science; Latent variable; Posterior probability,Bayesian paired comparison; Bradley-Terry; Davidson,"Bayes Theorem; Humans; Matched-Pair Analysis; Models, Statistical",,Chalmers University of Technology,https://link.springer.com/content/pdf/10.3758/s13428-021-01714-2.pdf https://link.springer.com/article/10.3758/s13428-021-01714-2 https://dblp.uni-trier.de/db/journals/corr/corr2101.html#abs-2101-11227 https://arxiv.org/abs/2101.11227,http://dx.doi.org/10.3758/s13428-021-01714-2,34846675,10.3758/s13428-021-01714-2,3216602291,PMC9374650,0,000-499-525-775-294; 001-196-876-979-000; 001-298-764-371-292; 004-107-553-174-752; 004-414-436-917-174; 004-536-668-580-211; 005-221-425-379-679; 005-542-264-252-155; 006-508-995-763-511; 008-385-491-458-383; 018-269-445-638-29X; 024-483-744-410-492; 025-009-658-071-875; 025-133-922-650-453; 027-151-451-153-494; 029-039-079-169-352; 029-409-571-804-501; 036-214-652-015-794; 036-464-850-968-184; 041-706-379-743-767; 045-187-870-348-998; 045-191-659-606-690; 047-005-506-445-938; 047-665-680-465-014; 050-033-593-645-124; 050-701-869-637-24X; 055-600-792-655-544; 057-392-284-297-081; 057-854-907-659-266; 058-063-037-266-113; 059-790-090-462-903; 064-222-946-416-791; 064-327-070-430-812; 070-387-752-002-083; 071-128-125-229-764; 074-584-077-233-459; 076-720-080-903-106; 087-991-691-200-809; 095-874-358-491-937; 096-558-601-945-495; 097-222-159-458-236; 098-277-516-859-498; 102-115-650-201-495; 102-668-674-697-675; 110-934-761-269-686; 112-507-928-838-921; 113-184-123-590-319; 120-424-874-837-080; 123-248-307-932-339; 124-850-148-955-311; 127-473-686-648-632; 141-562-203-874-638; 144-551-450-594-92X; 157-836-209-064-35X; 166-809-427-581-497; 173-845-612-535-179; 175-755-079-554-999; 183-914-972-982-465,0,true,cc-by,hybrid
000-542-558-151-85X,"The predictive power of popular sports ranking methods in the NFL, NBA, and NHL",2021-03-15,2021,journal article,Operational Research,11092858; 18661505,Springer Science and Business Media LLC,Germany,S. S. Dabadghao; B. Vaziri,,22,3,2767,2783,,,,,,,http://dx.doi.org/10.1007/s12351-021-00630-9,,10.1007/s12351-021-00630-9,,,0,004-293-390-041-809; 004-898-604-091-118; 008-017-474-137-466; 014-813-904-093-868; 015-091-011-041-520; 016-816-561-634-912; 018-815-999-823-96X; 019-022-925-527-179; 025-497-974-427-402; 034-773-006-355-717; 036-820-220-922-163; 039-043-448-127-153; 039-817-186-552-18X; 046-432-172-959-006; 056-999-825-254-370; 058-036-216-672-025; 063-959-693-635-653; 065-090-071-658-02X; 080-505-343-020-78X; 082-860-067-851-737; 086-055-187-233-144; 087-143-628-955-908; 090-021-634-578-048; 099-292-161-810-493; 101-989-933-610-126; 110-844-316-041-596; 131-243-276-264-901; 150-831-028-707-582; 171-110-889-074-600; 174-619-377-275-100; 184-853-406-848-43X,1,false,,
000-657-535-058-097,Generalized Results for the Existence and Consistency of the MLE in the Bradley-Terry-Luce Model,2021-10-21,2021,preprint,arXiv: Statistics Theory,,,,Heejong Bong; Alessandro Rinaldo,"Ranking problems based on pairwise comparisons, such as those arising in online gaming, often involve a large pool of items to order. In these situations, the gap in performance between any two items can be significant, and the smallest and largest winning probabilities can be very close to zero or one. Furthermore, each item may be compared only to a subset of all the items, so that not all pairwise comparisons are observed. In this paper, we study the performance of the Bradley-Terry-Luce model for ranking from pairwise comparison data under more realistic settings than those considered in the literature so far. In particular, we allow for near-degenerate winning probabilities and arbitrary comparison designs. We obtain novel results about the existence of the maximum likelihood estimator (MLE) and the corresponding $\ell_2$ estimation error without the bounded winning probability assumption commonly used in the literature and for arbitrary comparison graph topologies. Central to our approach is the reliance on the Fisher information matrix to express the dependence on the graph topologies and the impact of the values of the winning probabilities on the estimation risk and on the conditions for the existence of the MLE. Our bounds recover existing results as special cases but are more broadly applicable.",,,,,Consistency (statistics); Discrete mathematics; Graph (abstract data type); Pairwise comparison; Ranking; Network topology; Zero (linguistics); Fisher information; Mathematics; Bounded function,,,,,http://arxiv.org/pdf/2110.11487.pdf https://arxiv.org/pdf/2110.11487.pdf,https://arxiv.org/pdf/2110.11487.pdf,,,3210246763,,0,003-884-026-543-130; 011-105-391-999-886; 021-304-036-982-259; 022-501-390-008-829; 022-628-699-660-469; 031-830-169-787-740; 045-187-870-348-998; 073-591-412-378-911; 079-367-665-908-927; 092-474-419-202-077; 094-630-349-889-33X; 130-092-514-560-131; 137-940-671-974-155; 146-071-057-852-048; 155-729-366-689-349; 173-739-209-507-152; 188-851-886-159-33X,0,true,,unknown
001-096-409-774-470,Developmental Trajectory of Anticipation: Insights from Sequential Comparative Judgments.,2023-08-03,2023,journal article,"Behavioral sciences (Basel, Switzerland)",2076328x,,Switzerland,Leslie Tricoche; Martine Meunier; Sirine Hassen; Jérôme Prado; Denis Pélisson,"Reaction time (RT) is a critical measure of performance, and studying its distribution at the group or individual level provides useful information on the cognitive processes or strategies used to perform a task. In a previous study measuring RT in children and adults asked to compare two successive stimuli (quantities or words), we discovered that the group RT distribution was bimodal, with some subjects responding with a mean RT of around 1100 ms and others with a mean RT of around 500 ms. This bimodal distribution suggested two distinct response strategies, one reactive, the other anticipatory. In the present study, we tested whether subjects' segregation into fast and slow responders (1) extended to other sequential comparative judgments (2) evolved from age 8 to adulthood, (3) could be linked to anticipation as assessed using computer modeling (4) stemmed from individual-specific strategies amenable to instruction. To test the first three predictions, we conducted a distributional and theoretical analysis of the RT of 158 subjects tested earlier using four different sequential comparative judgment tasks (numerosity, phonological, multiplication, subtraction). Group RT distributions were bimodal in all tasks, with the two strategies differing in speed and sometimes accuracy too. The fast strategy, which was rare or absent in 8- to 9-year-olds, steadily increased through childhood. Its frequency in adolescence remained, however, lower than in adulthood. A mixture model confirmed this developmental evolution, while a diffusion model corroborated the idea that the difference between the two strategies concerns anticipatory processes preceding decision processes. To test the fourth prediction, we conducted an online experiment where 236 participants made numerosity comparisons before and after an instruction favoring either reactive or anticipatory responses. The results provide out-of-the-lab evidence of the bimodal RT distribution associated with sequential comparisons and demonstrated that the proportions of fast vs. slow responders can be modulated simply by asking subjects to anticipate or not the future result of the comparison. Although anticipation of the future is as important for cognition as memory of the past, its evolution after the first year of life is much more poorly known. The present study is a step toward meeting this challenge. It also illustrates how analyzing individual RT distributions in addition to group RT distributions and using computational models can improve the assessment of decision making cognitive processes.",13,8,646,646,Numerosity adaptation effect; Psychology; Anticipation (artificial intelligence); Cognitive psychology; Cognition; Task (project management); Developmental psychology; Audiology; Computer science; Artificial intelligence; Neuroscience; Medicine; Management; Economics,RT distribution; development; diffusion model; mixture model; sequential stimuli; strategies,,,Agence Nationale de la Recherche,https://www.mdpi.com/2076-328X/13/8/646/pdf?version=1691056061 https://doi.org/10.3390/bs13080646 https://hal.science/hal-04236410/document https://hal.science/hal-04236410,http://dx.doi.org/10.3390/bs13080646,37622787,10.3390/bs13080646,,PMC10451546,0,000-171-748-772-550; 001-879-192-216-400; 003-886-116-661-498; 008-880-142-131-890; 012-084-643-892-070; 012-102-173-675-907; 013-904-426-084-429; 018-169-137-471-610; 022-684-204-361-544; 031-722-541-423-460; 032-198-326-050-882; 032-817-350-938-195; 033-815-881-974-897; 034-509-650-020-608; 036-023-141-528-975; 036-072-419-954-401; 038-350-852-262-211; 039-081-300-810-295; 039-096-729-162-675; 042-208-957-507-42X; 042-246-391-929-582; 042-284-805-028-643; 048-669-573-216-789; 049-781-303-227-265; 051-672-948-843-283; 052-546-471-387-67X; 058-555-996-286-372; 065-388-786-035-047; 068-153-118-849-320; 073-385-249-585-699; 078-574-358-648-630; 089-333-624-113-674; 093-560-556-275-528; 096-413-111-345-019; 098-270-604-649-093; 101-703-265-849-53X; 102-705-791-019-347; 103-224-217-295-282; 107-374-893-137-81X; 108-399-589-666-917; 114-229-603-236-725; 116-740-648-811-587; 124-670-429-927-44X; 132-875-457-443-599; 134-692-630-491-027; 140-071-244-823-383; 140-558-828-978-527; 145-979-870-366-425; 148-559-368-701-37X; 154-017-898-674-656,0,true,cc-by,gold
002-093-735-199-080,"Comparative judgement: assess student production without absolute
                        judgements",2021-03-22,2021,book chapter,Innovative language pedagogy report,,Research-publishing.net,,Josh Sumner,"<jats:p>What is it? Comparative Judgement (CJ) has emerged as a technique that;                         typically makes use of holistic judgement to assess difficult-to-specify;                         constructs such as production (speaking and writing) in Modern Foreign;                         Languages (MFL). In traditional approaches, markers assess candidates’ work;                         one-by-one in an absolute manner, assigning scores to different elements;                         (analytic marking). In CJ, however, markers compare two pieces and consider;                         the overall merits of each. They make one binary, holistic judgement as to;                         which is better. This approach exploits humans’ natural ability to compare;;                         we find it easy, for example, to say which of two people is taller, but;                         struggle to give precise estimates of height.</jats:p>",,,63,67,,,,,,,http://dx.doi.org/10.14705/rpnet.2021.50.1237,,10.14705/rpnet.2021.50.1237,,,0,,0,true,cc-by,hybrid
002-277-146-007-120,Shallow pooling for sparse labels,2022-07-20,2022,journal article,Information Retrieval Journal,13864564; 15737659,Springer Science and Business Media LLC,Netherlands,Negar Arabzadeh; Alexandra Vtyurina; Xinyi Yan; Charles L. A. Clarke,,25,4,365,385,,,,,Natural Sciences and Engineering Research Council of Canada,,http://dx.doi.org/10.1007/s10791-022-09411-0,,10.1007/s10791-022-09411-0,,,0,007-103-896-519-67X; 009-139-457-348-773; 014-840-934-556-089; 023-655-144-560-667; 027-225-253-801-330; 027-634-434-262-492; 029-058-907-373-003; 035-834-088-730-367; 039-225-133-024-093; 041-681-612-625-92X; 042-474-321-322-368; 043-117-633-129-525; 055-304-726-232-109; 061-190-585-332-994; 066-134-961-372-080; 073-432-575-047-81X; 074-629-502-561-485; 079-041-408-831-834; 081-699-392-883-500; 092-765-877-448-293; 094-216-745-210-663; 100-893-306-848-044; 110-964-710-349-077; 113-975-541-183-91X; 118-082-066-808-530; 120-855-392-936-849; 155-357-973-190-019; 157-346-102-268-350,14,false,,
002-492-974-922-713,ICPR - An Intransitivity Model for Matchup and Pairwise Comparison,2021-01-10,2021,conference proceedings article,2020 25th International Conference on Pattern Recognition (ICPR),,IEEE,,Yan Gu; Jiuding Duan; Hisashi Kashima,"Ranking is a ubiquitous problem setting that appears in many real-world applications. The superior players or objects in the ranking list are oftentimes estimated from matchups and pairwise comparisons. In order to predict the result of unobserved events, various models have been developed to integrate the matchup and pairwise comparison results into a single ranking list of players. Amongst these models, the Bradley-Terry model is the mainstream which achieves the goal by authorizing enriched probabilistic interpretation of players. However, the model suffers from its strong assumption of transitive relationships and becomes vulnerable in practice when intransitive relationships exist. In this paper, we propose a low-rank matrix approach to characterize all players and unify the related works on representation learning of players by rearranging the constructively. Our experimental results on synthetic datasets and real-world datasets show that the proposed model is competitive with the standard models in terms of out-of-sample predictive performance and consistency of model interpretation.",,,692,698,Machine learning; Consistency (database systems); Pattern recognition (psychology); Artificial intelligence; Pairwise comparison; Transitive relation; Ranking; Intransitivity; Computer science; Probabilistic logic; Feature learning,,,,,https://dblp.uni-trier.de/db/conf/icpr/icpr2020.html#GuDK20,http://dx.doi.org/10.1109/icpr48806.2021.9412462,,10.1109/icpr48806.2021.9412462,3157334158,,0,001-738-917-382-352; 002-756-133-697-132; 006-121-722-789-517; 012-557-853-347-940; 014-925-544-561-491; 025-009-658-071-875; 027-150-047-044-961; 028-458-422-271-89X; 035-776-610-863-582; 036-662-229-628-12X; 042-674-764-230-952; 043-271-342-349-398; 045-006-096-162-67X; 059-222-112-801-422; 059-450-385-467-719; 062-449-192-706-779; 071-975-243-710-417; 072-644-333-922-114; 073-563-475-784-273; 081-370-959-105-221; 082-860-067-851-737; 087-991-691-200-809; 088-748-427-455-489; 092-474-419-202-077; 103-300-653-661-981; 112-714-330-059-351; 123-248-831-556-464; 124-850-148-955-311; 129-140-863-196-364; 130-356-838-731-781; 133-698-541-091-954; 136-177-689-360-546; 144-884-821-402-268; 150-693-010-201-505; 153-906-359-466-085; 163-489-007-244-073; 166-067-959-365-234,0,false,,
003-255-164-625-028,Result-based talent identification in road cycling: discovering the next Eddy Merckx.,2021-10-05,2021,journal article,Annals of operations research,02545330; 15729338,Springer Science and Business Media LLC,Netherlands,David Van Bulck; Arthur Vande Weghe; Dries Goossens,"In various sports large amounts of data are nowadays collected and analyzed to help scouts with identifying talented young athletes. In contrast, the literature on result-based talent identification in road cycling is remarkably scarce. The purpose of this paper is to provide insight into the possibilities of the use of publicly available data to discover new talented Under-23 (U23) riders via statistical learning methods (linear regression and random forest techniques). At the same time, we try to find out the main determinants of success for U23 riders in their first years of professional cycling. We collect results for more than 25000 road cycling races from 2007–2018 and consider more than 2500 riders from over 80 countries. We use the data from 2007 to 2017 to train and validate our models, and use the data from 2018 to predict how well U23 riders will perform in their first three elite years. Our results reveal that past U23 race results appear to be important predictors of future cycling performance.",325,1,1,18,Random forest; Data science; Athletes; Statistical learning; Road cycling; Computer science; Cycling; Contrast (statistics); Identification (information),Performance; Professional road cycling; Scouting; Talent identification,,,Fonds Wetenschappelijk Onderzoek,https://link.springer.com/article/10.1007/s10479-021-04280-0 https://paperity.org/p/273544384/result-based-talent-identification-in-road-cycling-discovering-the-next-eddy-merckx https://biblio.ugent.be/publication/8723430 https://link.springer.com/content/pdf/10.1007/s10479-021-04280-0.pdf,http://dx.doi.org/10.1007/s10479-021-04280-0,34629606,10.1007/s10479-021-04280-0,3204669124,PMC8490850,0,000-642-972-202-200; 002-469-725-030-604; 006-306-297-176-541; 008-343-024-178-862; 016-128-620-448-177; 016-190-973-992-650; 017-050-065-791-169; 018-216-759-004-231; 018-269-445-638-29X; 020-848-725-174-707; 031-995-835-346-919; 036-319-757-269-054; 038-054-760-889-002; 038-728-894-380-955; 040-802-208-400-827; 045-864-758-036-623; 049-537-855-323-269; 051-807-266-987-701; 052-487-838-410-77X; 056-802-749-906-08X; 056-875-401-728-726; 069-817-500-215-025; 070-103-857-773-151; 080-725-466-147-291; 087-991-691-200-809; 089-067-227-009-372; 098-793-204-963-414; 104-238-051-301-446; 128-169-993-556-076; 131-132-387-917-862; 135-182-532-397-391; 137-500-292-264-429; 138-152-216-399-346; 141-504-260-190-27X; 153-460-868-610-870; 155-323-303-898-151; 176-081-699-575-633; 176-486-453-814-767,5,true,,green
003-335-371-316-367,The influence of natural image statistics on upright orientation judgements.,2023-10-10,2023,journal article,Cognition,18737838; 00100277,Elsevier BV,Netherlands,Emily J A-Izzeddin; Jason B Mattingley; William J Harrison,"Humans have well-documented priors for many features present in nature that guide visual perception. Despite being putatively grounded in the statistical regularities of the environment, scene priors are frequently violated due to the inherent variability of visual features from one scene to the next. However, these repeated violations do not appreciably challenge visuo-cognitive function, necessitating the broad use of priors in conjunction with context-specific information. We investigated the trade-off between participants' internal expectations formed from both longer-term priors and those formed from immediate contextual information using a perceptual inference task and naturalistic stimuli. Notably, our task required participants to make perceptual inferences about naturalistic images using their own internal criteria, rather than making comparative judgements. Nonetheless, we show that observers' performance is well approximated by a model that makes inferences using a prior for low-level image statistics, aggregated over many images. We further show that the dependence on this prior is rapidly re-weighted against contextual information, even when misleading. Our results therefore provide insight into how apparent high-level interpretations of scene appearances follow from the most basic of perceptual processes, which are grounded in the statistics of natural images.",242,,105631,105631,Prior probability; Perception; Psychology; Scene statistics; Context (archaeology); Inference; Cognitive psychology; Task (project management); Natural (archaeology); Cognition; Visual perception; Orientation (vector space); Artificial intelligence; Computer science; Bayesian probability; Mathematics; Paleontology; History; Management; Archaeology; Neuroscience; Economics; Biology; Geometry,Computational modelling; Image statistics; Naturalistic images; Visual perception,Humans; Judgment; Visual Perception; Cognition,,Australian Research Council; National Health and Medical Research Council,,http://dx.doi.org/10.1016/j.cognition.2023.105631,37820487,10.1016/j.cognition.2023.105631,,,0,001-256-712-003-732; 001-529-878-461-937; 002-064-085-911-060; 002-491-712-291-734; 002-608-830-214-912; 003-108-574-155-84X; 004-412-257-999-97X; 004-495-694-854-142; 005-589-187-502-728; 005-683-281-007-732; 007-937-750-616-021; 009-163-025-047-715; 009-332-873-714-984; 010-629-061-233-301; 013-064-393-085-978; 015-585-177-771-742; 015-730-462-360-529; 017-135-162-827-904; 019-636-410-789-758; 020-291-224-733-026; 023-847-808-127-02X; 024-306-285-412-917; 025-503-036-092-835; 026-837-694-510-345; 027-149-374-389-854; 027-469-339-304-213; 029-130-815-604-55X; 029-508-198-248-765; 030-660-282-108-118; 031-324-485-402-628; 035-682-216-930-014; 036-014-318-796-840; 036-215-458-962-338; 037-283-744-087-993; 038-418-507-357-648; 038-485-663-132-491; 038-597-067-017-08X; 038-996-393-744-547; 042-518-599-065-062; 043-313-402-247-864; 043-933-993-456-373; 044-172-477-182-751; 044-775-893-870-345; 045-582-156-978-714; 046-172-712-057-196; 048-498-071-032-230; 051-169-072-541-986; 054-930-354-927-496; 059-098-493-584-496; 059-951-315-889-604; 060-248-650-100-798; 061-971-783-481-511; 065-054-386-756-11X; 067-872-041-138-065; 069-744-192-005-522; 070-025-622-372-387; 070-055-960-937-368; 070-727-233-075-350; 071-162-359-326-400; 071-467-823-911-177; 071-520-103-682-994; 074-457-956-098-837; 075-514-429-812-247; 079-382-865-970-384; 080-266-920-202-204; 081-641-519-823-299; 082-317-326-613-457; 084-226-735-369-60X; 086-446-741-045-019; 086-754-320-670-558; 088-467-480-843-05X; 098-548-641-710-846; 118-400-350-348-632; 139-310-234-201-839; 162-378-343-549-214; 167-103-862-247-057,1,true,cc-by,hybrid
003-722-214-520-663,The rhythm aftereffect induced by adaptation to the decelerating rhythm.,2021-10-04,2021,journal article,Psychonomic bulletin & review,15315320; 10699384,Springer Science and Business Media LLC,United States,Baolin Li; Kun Wang; Lihan Chen,,29,2,1,9,Duration (music); Rhythm; Adaptation (eye); Psychology; Perception; Anisochronous; Neural adaptation; Sensory Adaptation; Visual test; Audiology,Adaptation; Anisochronous rhythm; Rhythm aftereffect; Temporal perception,"Adaptation, Physiological/physiology; Auditory Perception/physiology; Humans",,"National Natural Science Foundation of China (32000744, 31671125); Fundamental Research Funds for the Central Universities (GK202003095)",https://link.springer.com/article/10.3758/s13423-021-02014-8 https://pubmed.ncbi.nlm.nih.gov/34608603/,http://dx.doi.org/10.3758/s13423-021-02014-8,34608603,10.3758/s13423-021-02014-8,3203096336,,0,005-764-564-405-145; 010-629-061-233-301; 010-906-857-175-39X; 012-321-730-431-041; 013-525-135-746-066; 013-725-699-088-472; 014-027-440-367-649; 018-072-219-946-826; 018-092-790-878-47X; 019-087-484-867-473; 021-682-936-048-128; 025-719-170-145-590; 025-868-348-105-086; 026-503-824-816-458; 027-512-859-584-651; 031-202-898-958-194; 031-260-594-488-790; 031-324-485-402-628; 032-272-286-337-565; 032-463-273-683-604; 032-614-955-531-638; 032-812-557-034-06X; 038-225-330-828-756; 038-285-202-019-932; 039-712-981-512-194; 040-424-463-985-070; 040-915-105-698-422; 042-313-418-976-328; 043-073-760-878-05X; 044-369-323-064-487; 052-171-059-766-178; 053-753-270-805-108; 054-486-321-164-180; 054-581-153-094-317; 057-901-430-098-420; 063-621-953-474-529; 069-326-023-499-208; 073-662-318-958-755; 077-694-880-957-17X; 088-624-291-169-111; 090-081-442-058-800; 093-852-067-769-273; 099-069-284-581-967; 102-834-318-065-592; 104-395-660-829-376; 110-915-334-191-411; 115-205-172-995-454; 126-422-813-112-165; 136-285-855-191-10X; 136-803-829-518-516; 146-830-582-641-390; 159-308-056-559-581,1,false,,
